GEOID,PollutionAWeighted
06037294610,6.700254472
06059011402,5.120922036
06019001304,6.637431031
06037273700,5.712272601
06037207501,8.27558984
06053010900,3.591776696028897
06059087403,7.117174319000001
06037242100,7.719476441789601
06037408134,4.992496205
06001451704,2.955823679
06065041405,5.998099288
06037239202,8.208722489
06071007112,6.38366547
06073010501,4.830584812
06067008119,3.9865268099999995
06005000102,2.663179681
06065041407,6.172952806
06037700700,5.616158454539737
06037404504,4.946812562
06037701902,6.6526839
06037531000,8.311045997345387
06073007501,4.832909242
06037237600,6.483574901
06081612102,5.664143846410089
06037119341,5.89137965
06037620602,5.902419379
06059011716,6.301297141614571
06071004001,7.1019627409999995
06019005409,4.802694917
06073012502,7.534283962
06085511702,3.5520158117793246
06077003310,3.971507484
06073011100,5.276209210000001
06075017102,2.759900555
06037106113,5.880094949
06065045614,1.8051816979999997
06037503105,6.347552475
06065042514,4.260988535
06067006102,5.267754566
06073017050,3.70431070358798
06083002709,4.587323315
06085500400,5.689800689
06037577700,7.192246727431467
06065042411,2.729551905
06059075504,6.736165443999999
06029000904,5.320930036
06037209300,7.308175323
06051000101,4.240078519068087
06067009651,6.384729248
06037106510,6.773584369646105
06037208903,6.209478371
06037232402,5.972360077000001
06059063902,5.891000416178077
06059099222,4.374086982133327
06061023300,2.40432600511248
06037601002,5.686002644
06037600302,6.027013522758621
06037264304,6.476234455999999
06071002051,4.899517018
06037127805,6.038430054
06059088403,6.5542295
06037224410,6.545612624
06067009644,3.580728434
06079012102,4.553425999
06037208620,6.423204598999999
06001428301,4.762164021597657
06023010902,3.094457028140061
06037234001,5.246826775
06037197700,8.447942138
06037572600,7.830070333
06017030603,3.3810014080000004
06067008129,3.744029449439644
06081610901,4.936988098
06075061501,5.773195524
06037222600,5.877087153
06037265420,4.957255531
06073005401,6.39073870748076
06037571704,5.456378359
06083002005,3.190740811
06037127103,7.320374804
06037533105,5.941203127
06047001503,4.991296783
06037405301,6.648884875713154
06037237500,5.397613192
06053013900,3.682453121
06037231100,7.511074937
06059110108,7.859254175973918
06071004003,7.310074169
06037124105,5.839282864
06037119320,5.816546189
06037552302,7.494389668999999
06029004302,4.676866958
06001407000,4.291205429
06109004201,3.070337963
06013312000,6.434028914412855
06037102103,6.2847212070000005
06067009610,2.024562511
06073016619,3.6996509230000005
06073016608,3.833616399
06065044804,3.357044428
06067005101,5.340813559
06071005101,5.576001139
06019003003,5.675398381
06081602202,6.55664381
06037132700,7.292086616000001
06037530203,7.347655523000001
06053012302,2.740285738
06107002903,5.569240188
06073020208,3.265306910815953
06037701602,5.83499149
06037602512,8.51981049
06037700502,5.588598534
06037192410,5.664242237
06073000800,3.602492632
06085504320,3.2473696570000006
06073017605,5.472560192
06037550802,8.00435546929782
06037702201,6.670963174
06059011403,7.929548254999999
06053001200,5.51149534
06037204920,9.483879507
06037134422,5.083420281
06037294421,7.519378485
06037401001,3.845156762
06067009310,4.878347793
06085504412,4.302568701
06067008907,4.812071569
06037121802,7.244814213999999
06037139600,6.736425489000001
06029002702,6.457248476
06037135205,3.6910171460000005
06041108100,2.904411030202237
06059087505,5.726161086000001
06067009335,5.09888702
06037275312,7.454992604
06037650603,5.079377446
06071007108,6.745632939042576
06037271600,6.050666985
06075011700,5.243407122
06037188202,6.647212037
06077003407,4.734994998
06001422400,4.546524216
06031000603,4.522311873
06075012901,5.431602507
06059089104,6.06420752
06067004017,2.555778678
06059086502,8.349750234
06085506304,3.385467783
06029003808,4.861319653
06059074110,5.273715164
06075021200,2.595834301
06059075505,6.188766207414329
06085512200,3.142745609
06019005914,4.544689783320948
06037221120,6.155218145999999
06013383000,6.443132450120648
06075010401,5.174930187
06107001009,6.485580501525182
06073015701,5.090105661
06037603008,7.469680635
06029002401,7.332869923
06037600100,5.853637685
06075060702,6.55699150832587
06037551201,5.022356817
06037431004,7.101065877999999
06037480500,6.382471599
06081612002,6.228109219
06019001303,6.638167868
06075023003,5.653699674
06053012504,4.175673808010838
06075022903,6.720910130149759
06037211704,5.847197563
06037920313,5.230420221
06073018620,5.292699187
06009000122,3.013851815595349
06031000406,5.011239374
06075030201,3.696339847
06037103201,6.089897549
06037134905,6.593525658999999
06037104620,6.396766433
06067002100,7.31183123
06037267202,6.331488828
06037127803,6.2683720979999995
06037275313,7.454992604
06037236206,5.980879476999999
06013345102,2.879341054
06037920110,3.509107789
06037293205,6.799414195
06029002814,5.502822159999999
06065031001,5.592101417
06097153808,5.483103171
06037240402,6.953205144
06037127806,6.613497646
06047001003,5.292979760310363
06065044925,2.274396717
06081609000,3.9942500025830063
06085512505,3.254088838467279
06037552900,6.0046031410000005
06077005141,6.964471551
06059099404,4.492677519110135
06037433305,7.344734186
06059052411,6.634958877393837
06037293302,6.834664643
06037600501,5.907964287609799
06037620901,4.443161242
06077005140,6.968389106271132
06013313104,5.146540443999999
06075010201,5.121050235
06085506102,4.037672148
06059052528,3.931698591
06085509404,5.195296416
06059063803,4.577093806
06075022704,6.39760509
06037208904,6.6338149
06097151204,4.183501256497125
06077005130,6.634429202
06029003217,5.567355608000001
06081605800,4.071377221707597
06065043818,3.963461124
06037231901,7.285131771
06059087001,6.159063878
06059099233,4.770044772
06037269906,5.175646848
06065042508,5.271385212999999
06065043315,2.9675180080000003
06071001309,6.547903223
06013311000,6.153011402
06067001602,6.7852292169999995
06065042012,5.181743998813898
06037600902,6.124032713
06085504802,6.157462759251341
06073008002,2.761853262
06099000512,4.707597727
06073015802,4.969130162
06001423200,6.141483879999999
06037115301,5.715511561
06067006400,6.412504397434466
06001444200,3.566578939
06037125402,6.660494560527835
06047001200,4.583515073
06059032022,5.106752350901693
06029002811,4.376398109
06037531702,6.988685155
06071002307,4.270356628
06037121801,6.119597706
06065045233,4.121737388
06055200705,4.335185355
06007002402,4.757177349
06037131024,7.003538605
06065042507,5.803174168825057
06037534700,5.430230499895725
06027000200,3.628449404
06073009602,4.905171414
06037572201,7.594018845443091
06037237900,5.117110764
06077005312,5.829252456671025
06013339004,5.565343240999999
06067007434,4.001485491
06019006405,5.169737491000001
06037216700,6.929748112000001
06037433403,7.983652135
06037577800,7.921804812616032
06103000100,4.291136199533925
06019007903,6.0952784536791125
06019004215,4.862729544
06107003903,5.715058369000001
06067009502,3.49481648
06095252913,2.648671192928332
06085504806,5.709894744543183
06001444100,4.396964333
06019005302,6.120766977
06013303204,5.226425122
06001404102,4.374435038
06001432602,5.311174632
06075015801,4.0993023730000004
06067009108,3.4964949450000002
06037102105,8.592008837
06001404000,4.8988243942374705
06053011002,2.530387407
06037199110,6.268080397
06075035201,3.068357593
06037433307,7.716094757
06001438100,5.37358762
06001450604,3.852995093
06001426200,4.281005399746459
06045010601,4.16594450778631
06053011305,4.396699997
06065045214,4.010215832
06037293203,6.969356104652029
06107002303,6.862435791
06037115202,7.194335723
06037134710,6.172982778
06067001601,6.785299131563755
06075020201,5.021837329
06037311802,9.007562777
06045011800,2.197869154
06067009319,5.059440828
06037188300,8.042383634
06085506606,4.05736210060163
06077005212,5.307671893
06037620301,5.574866485
06037222200,5.772669511
06029000601,5.597478749999999
06037206050,9.315150369
06107001706,5.606613831169969
06037571600,5.2180811049999996
06001441926,3.8352377393950414
06037131300,5.392441936
06029003129,4.903131836
06073008378,4.015412635
06073017603,5.230603823285144
06037201700,7.879475183
06037209104,6.760509073
06037532700,7.862728561
06029003822,4.96360996
06037128801,6.351838797
06075980900,6.823486371855581
06071009130,2.508036961
06037128500,5.995631122
06065040621,6.685526987
06037576302,5.650859059000001
06037190901,7.367208844
06111003101,5.569125343
06037534102,8.444776373
06099000911,3.7671224179596314
06029003810,4.445473149472925
06065042410,2.7660794060000002
06099003612,4.995782159
06063000202,2.70381674
06037231400,5.398499332
06085512058,4.397877645
06073007401,4.952172827
06065050402,3.6438074549999997
06113010203,8.291958087
06001444500,5.700892657
06013339003,5.5597260156311075
06019004802,4.9974262944327466
06001400300,4.478033913723718
06037211122,7.276587375
06073014200,5.139101753674341
06073002302,4.200972993
06073003303,5.311816758749469
06085505203,5.625535019470611
06037143102,7.806131425
06065041913,3.9147029777167504
06065043519,5.113140946
06097154100,4.260092688545239
06037901101,3.365250184
06037121210,8.311370786
06073000301,5.034792806
06073017501,4.616155353602915
06037900506,3.3046062719999996
06037550902,5.261891885
06037276000,6.560477864000001
06059063903,5.704900467
06075020101,5.759688653999999
06071002804,5.328047541493433
06071004902,7.02736066170864
06001422200,5.1135167
06037269800,6.27447156
06037577200,NA
06065045126,3.709282615
06081610500,5.814650824
