"","County","PollutionScore","Pollution_County","CountyPercentile"
"123","Los Angeles",7.519378485,2062,0.821186778176025
"124","Los Angeles",3.845156762,85,0.0338510553564317
"125","Sacramento ",4.878347793,238,0.652054794520548
"126","Santa Clara",4.302568701,195,0.479115479115479
"127","Sacramento ",4.812071569,229,0.627397260273973
"128","Los Angeles",7.244814214,1902,0.757467144563919
"129","Los Angeles",6.736425489,1561,0.621664675428116
"130","Kern ",6.457248476,185.5,0.763374485596708
"131","Los Angeles",3.691017146,69.5,0.0276782158502589
"132","Marin ",2.904544937,9,0.145161290322581
"133","Orange ",5.726161086,313,0.514802631578947
"134","Sacramento ",5.09888702,268,0.734246575342466
"135","Los Angeles",7.454992604,2018.5,0.803863002787734
"136","Los Angeles",5.079377446,372,0.148148148148148
"137","San Bernardino",6.923942182,392,0.859649122807018
"138","Los Angeles",6.050666985,996,0.396654719235364
"139","San Francisco",5.243407122,186,0.765432098765432
"140","Los Angeles",6.647212037,1505,0.599362803663879
"141","San Joaquin",4.734994998,40,0.233918128654971
"142","Alameda ",4.546524216,196,0.501278772378517
"143","Kings ",4.522311873,4.5,0.155172413793103
"144","San Francisco",5.431602507,194,0.798353909465021
"145","Orange ",6.06420752,367,0.603618421052632
"146","Sacramento ",2.555778678,35.5,0.0972602739726027
"147","Orange ",8.349750234,600,0.986842105263158
"148","Santa Clara",3.385467783,78,0.191646191646192
"149","Kern ",4.861319653,66,0.271604938271605
"150","Orange ",5.273715164,248,0.407894736842105
"151","San Francisco",2.595834301,4,0.0164609053497942
"152","Orange ",5.665622224,305,0.501644736842105
"153","Santa Clara",3.142745609,56,0.137592137592138
"154","Fresno ",4.499808496,21,0.0929203539823009
"155","Los Angeles",6.155218146,1089,0.433691756272401
"156","Alameda ",5.94391753675,336,0.859335038363171
"157","San Francisco",5.174930187,183.5,0.755144032921811
"158","Tulare ",5.886851508,30,0.297029702970297
"159","San Diego",5.090105661,482,0.654002713704206
"160","Los Angeles",7.469680635,2027.5,0.807447232178415
"161","Kern ",7.332869923,226.5,0.932098765432099
"162","Los Angeles",5.853637685,848,0.337714058144166
"163","San Francisco",6.4430373685,225,0.925925925925926
"164","Los Angeles",5.022356817,345,0.137395459976105
"165","Los Angeles",7.101065878,1815.5,0.723018717642374
"166","Los Angeles",6.382471599,1283,0.510951812027081
"167","San Mateo",6.228109219,154.5,0.893063583815029
"168","Fresno ",6.638167868,171,0.756637168141593
"169","San Francisco",5.653699674,200,0.823045267489712
"170","Monterey ",3.1703616706,25,0.240384615384615
"171","San Francisco",6.89268738,239,0.983539094650206
"172","Los Angeles",5.847197563,843,0.335722819593787
"173","Los Angeles",5.230420221,435,0.173237753882915
"174","San Diego",5.292699187,530.5,0.719810040705563
"175","Calaveras ",2.6175022955,4.5,0.321428571428571
"176","Kings ",5.011239374,10.5,0.362068965517241
"177","San Francisco",3.696339847,50,0.205761316872428
"178","Los Angeles",6.089897549,1030.5,0.410394265232975
"179","Los Angeles",6.593525659,1456,0.579848665870171
"180","Los Angeles",6.396766433,1297,0.51652727996814
"181","Sacramento ",7.31183123,363,0.994520547945206
"182","Los Angeles",6.331488828,1240.5,0.494026284348865
"183","Los Angeles",6.268372098,1172,0.466746316208682
"184","Los Angeles",7.454992604,2018.5,0.803863002787734
"185","Los Angeles",5.980879477,941.5,0.374950219036241
"186","Contra Costa",2.879341054,31,0.134782608695652
"187","Los Angeles",3.509107789,54,0.021505376344086
"188","Los Angeles",6.799414195,1601.5,0.637793707686181
"189","Kern ",5.50282216,126,0.518518518518518
"190","Riverside ",5.592101417,395,0.762548262548263
"191","Sonoma ",5.483103171,111,0.917355371900826
"192","Los Angeles",6.953205144,1707,0.679808841099164
"193","Los Angeles",6.613497646,1470,0.585424133811231
"194","Merced ",5.534537292,11,0.171875
"195","Riverside ",2.274396717,15,0.028957528957529
"196","San Mateo",4.17972730733333,63,0.364161849710983
"197","Santa Clara",3.7982874515,127,0.312039312039312
"198","Los Angeles",6.004603141,964,0.383910792512943
"199","San Joaquin",6.964471551,145,0.847953216374269
"200","Orange ",4.723827923,163,0.268092105263158
"201","Los Angeles",7.344734186,1963,0.781760254878534
