,GEOID,AreaWeightScore10,PollutionScore,Match,,
1,6037294610,6.700254472,6.700254472,TRUE,,
2,6059011402,5.120922036,5.120922036,TRUE,,
3,6019001304,6.637431031,6.637431031,TRUE,,
4,6037273700,5.712272601,5.712272601,TRUE,,
5,6037207501,8.27558984,8.27558984,TRUE,,
6,6053010900,1.795888348,4.748652141,FALSE,,Pollution Score is Raw Avg
7,6059087403,7.117174319,7.117174319,TRUE,,AreaWeightSCore10 is Correct
8,6037242100,3.859738221,7.76584822,FALSE,,
9,6037408134,4.992496205,4.992496205,TRUE,,
10,6001451704,2.955823679,2.955823679,TRUE,,
11,6065041405,5.998099288,5.998099288,TRUE,,
12,6037239202,8.208722489,8.208722489,TRUE,,
13,6071007112,6.38366547,6.38366547,TRUE,,
14,6073010501,4.830584812,4.830584812,TRUE,,
15,6067008119,3.98652681,3.98652681,TRUE,,
16,6005000102,2.663179681,2.663179681,TRUE,,
17,6065041407,6.172952806,6.172952806,TRUE,,
18,6037700700,2.808079227,4.795964194,FALSE,,
19,6037404504,4.946812562,4.946812562,TRUE,,
20,6037701902,6.6526839,6.6526839,TRUE,,
21,6037531000,4.155522999,7.688013399,FALSE,,
22,6073007501,4.832909242,4.832909242,TRUE,,
23,6037237600,6.483574901,6.483574901,TRUE,,
24,6081612102,2.832071923,4.823222855,FALSE,,
25,6037119341,5.89137965,5.89137965,TRUE,,
26,6037620602,5.902419379,5.902419379,TRUE,,
27,6059011716,3.150648571,7.153881823,FALSE,,
28,6071004001,7.101962741,7.101962741,TRUE,,
29,6019005409,4.802694917,4.802694917,TRUE,,
30,6073012502,7.534283962,7.534283962,TRUE,,
31,6085511702,1.776007906,3.825808811,FALSE,,
32,6077003310,3.971507484,3.971507484,TRUE,,
33,6073011100,2.638104605,5.133246211,FALSE,,
34,6075017102,2.759900555,2.759900555,TRUE,,
35,6037106113,5.880094949,5.880094949,TRUE,,
36,6065045614,1.805181698,1.805181698,TRUE,,
37,6037503105,6.347552475,6.347552475,TRUE,,
38,6065042514,4.260988535,4.260988535,TRUE,,
39,6067006102,5.267754566,5.267754566,TRUE,,
